date,JP_trade_balance,Nikkei225,DXY,USDJPY,JP_10Y_yield,JP_CPI,US_interest_rate,BLK,BEN,FSI,AB,BRK-B,HTHIY,NTDOY
2005-01-04,1844.0,11437.52,82.57,104.31,1.368,95.3,2.28,47.73,12.8,3.35,9.53,57.1,64.58,3.03
2005-01-05,1844.0,11437.52,82.54,103.93,1.368,95.3,2.28,47.29,12.62,3.21,9.5,57.2,65.32,3.08
2005-01-06,1844.0,11492.26,83.15,104.89,1.368,95.3,2.28,50.54,12.67,3.42,9.49,57.48,64.57,2.95
2005-01-07,1844.0,11433.24,83.61,104.84,1.368,95.3,2.28,49.49,12.54,3.53,9.42,58.38,64.08,2.96
2005-01-11,1844.0,11539.99,83.02,103.37,1.368,95.3,2.28,50.51,12.74,3.68,9.5,57.53,65.3,2.92
2005-01-12,1844.0,11453.39,82.14,102.33,1.368,95.3,2.28,50.98,12.85,3.58,9.67,57.52,66.03,2.95
2005-01-13,1844.0,11358.22,82.51,102.49,1.368,95.3,2.28,50.7,12.35,3.8,9.67,57.4,65.06,2.95
2005-01-14,1844.0,11438.39,83.06,102.04,1.368,95.3,2.28,51.11,12.58,3.88,9.75,57.27,66.39,2.94
2005-01-18,1844.0,11423.26,83.36,102.42,1.368,95.3,2.28,50.84,12.67,4.11,9.8,57.8,65.76,2.94
2005-01-19,1844.0,11405.34,83.6,102.54,1.368,95.3,2.28,50.21,12.54,4.14,9.68,57.78,64.89,2.89
2005-01-20,1844.0,11284.77,83.84,103.29,1.368,95.3,2.28,50.12,12.35,4.44,9.67,58.36,63.89,2.87
2005-01-21,1844.0,11238.37,83.26,102.73,1.368,95.3,2.28,50.1,12.05,4.54,9.59,60.09,64.06,2.84
2005-01-24,1844.0,11289.49,83.24,102.67,1.368,95.3,2.28,50.05,12.04,4.34,9.62,60.0,64.04,2.84
2005-01-25,1844.0,11376.57,83.99,104.23,1.368,95.3,2.28,49.91,12.02,4.08,9.74,59.7,64.28,2.84
2005-01-26,1844.0,11341.31,83.3,102.9,1.368,95.3,2.28,50.06,12.21,4.08,9.8,59.28,64.61,2.79
2005-01-27,1844.0,11341.31,83.43,103.23,1.368,95.3,2.28,50.1,12.22,3.91,10.08,58.84,64.04,2.74
2005-01-28,1844.0,11320.58,83.48,103.37,1.368,95.3,2.28,49.94,12.44,3.94,10.26,60.0,63.75,2.76
2005-01-31,1844.0,11387.59,83.6,103.62,1.368,95.3,2.28,50.73,12.58,3.94,10.48,59.88,63.94,2.8
2005-02-01,10386.0,11384.4,83.45,103.94,1.3959,95.0,2.5,50.41,12.59,3.94,10.47,60.34,64.19,2.79
2005-02-02,10386.0,11389.35,83.52,103.94,1.3959,95.0,2.5,49.95,12.51,3.81,10.44,60.08,62.66,2.76
2005-02-03,10386.0,11389.35,83.97,104.6,1.3959,95.0,2.5,50.57,12.44,3.86,10.39,60.08,61.28,2.7
2005-02-14,10386.0,11632.2,83.96,104.95,1.3959,95.0,2.5,50.47,13.03,4.04,11.2,60.84,60.89,2.81
2005-02-15,10386.0,11601.68,83.59,104.57,1.3959,95.0,2.5,50.22,13.12,4.04,11.28,60.62,61.36,2.82
2005-02-16,10386.0,11601.68,83.67,105.63,1.3959,95.0,2.5,49.01,13.14,4.04,11.31,60.46,61.54,2.8
2005-02-17,10386.0,11582.72,83.47,105.45,1.3959,95.0,2.5,50.7,13.1,4.13,11.56,60.24,60.55,2.77
2005-02-18,10386.0,11660.12,83.49,105.64,1.3959,95.0,2.5,50.87,13.0,4.19,11.36,60.05,60.41,2.81
2005-02-22,10386.0,11597.71,82.41,104.21,1.3959,95.0,2.5,50.12,12.7,4.11,11.0,60.08,59.98,2.8
2005-02-23,10386.0,11500.18,82.68,104.97,1.3959,95.0,2.5,49.44,12.76,4.04,11.03,60.68,60.65,2.77
2005-02-24,10386.0,11531.15,82.88,105.43,1.3959,95.0,2.5,49.35,12.87,4.04,11.2,60.24,59.97,2.74
2005-02-25,10386.0,11658.25,82.66,105.17,1.3959,95.0,2.5,49.38,12.95,3.95,11.26,60.32,60.6,2.77
2005-03-01,10599.0,11780.53,82.77,104.37,1.4522,95.3,2.63,50.55,13.38,3.63,11.16,60.42,61.6,2.75
2005-03-02,10599.0,11813.71,83.08,104.73,1.4522,95.3,2.63,50.52,13.34,3.77,11.03,60.08,62.44,2.78
